source,interaction,target,cor,cor_sign
T001939,---,T133796,0.314067421824984,+
T001939,---,T150934,-0.0937684471472401,-
T001939,---,T176451,0.173285578957248,+
T001939,---,T183226,0.302116722486809,+
T001939,---,T196170,0.258372777582725,+
T002501,---,T118901,0.426471615128252,+
T002501,---,T169888,0.491010387272674,+
T002502,---,T024245,0.312456520622299,+
T002502,---,T059040,0.344814270295697,+
T002526,---,T031931,0.793901417346761,+
T002526,---,T095080,0.649499857171355,+
T002526,---,T121351,0.740092171668442,+
T002544,---,T007722,0.230273222098566,+
T002544,---,T013131,0.256220941922041,+
T002544,---,T020133,0.351310076377982,+
T002544,---,T052888,0.19397960603528,+
T002544,---,T073892,-0.30782805695895,-
T002544,---,T074914,0.2649655935517,+
T002544,---,T085268,0.399631007895382,+
T002544,---,T145188,0.243649372581962,+
T002544,---,T163611,-0.252567218090848,-
T002555,---,T084439,0.368280631821607,+
T002555,---,T125332,0.372194149341181,+
T002555,---,T128173,0.456027188303162,+
T002555,---,T132572,-0.377508390977039,-
T002555,---,T162139,0.337229528185648,+
T002571,---,T030585,0.596373276225976,+
T002571,---,T064525,0.363606023940307,+
T002571,---,T107438,0.535553700234294,+
T002571,---,T140997,0.490097220721249,+
T002571,---,T161513,0.277193575314175,+
T003652,---,T043052,0.388371624630768,+
T003652,---,T045077,0.502804692871075,+
T003652,---,T052310,0.541492039097309,+
T003652,---,T053330,0.43858850455901,+
T003652,---,T056212,0.451267474651105,+
T003652,---,T100204,0.428988592549673,+
T003652,---,T117729,0.455155990290816,+
T003652,---,T137896,0.474480462471319,+
T003652,---,T147114,0.506944088976925,+
T003652,---,T148258,0.42576028711873,+
T003652,---,T175029,0.325285233973932,+
T003652,---,T178112,0.467376645199073,+
T003652,---,T183713,0.621149271158714,+
T004343,---,T007721,0.346880537543029,+
T004343,---,T013131,0.314124993399216,+
T004343,---,T027962,0.523266584552814,+
T004343,---,T088175,0.4015051279926,+
T004343,---,T088176,0.387317839056036,+
T004343,---,T182931,0.253930167485508,+
T004396,---,T068972,0.277620212907791,+
T004396,---,T088173,0.267656405456719,+
T004396,---,T147114,0.337647049818631,+
T005308,---,T016692,0.707661295399567,+
T005308,---,T046860,0.59810992980961,+
T005308,---,T085803,0.602111866861782,+
T005308,---,T092203,0.610865571213069,+
T005308,---,T092609,0.680605750314024,+
T005308,---,T110222,-0.477954096969326,-
T005308,---,T126786,0.717823675630457,+
T005308,---,T133710,0.453159244368605,+
T005308,---,T149255,0.692678191658598,+
T005308,---,T154945,0.716172252647878,+
T005961,---,T007721,0.25933295514668,+
T005961,---,T133794,0.323048195515998,+
T005961,---,T170760,-0.318085723499218,-
T005961,---,T182667,0.388904379276419,+
T005963,---,T010794,0.342997528353951,+
T005963,---,T069034,0.281670197593886,+
T005963,---,T101418,-0.298606864546684,-
T005963,---,T140760,0.305964753097641,+
T005963,---,T145733,0.382975013308205,+
T005963,---,T170367,0.4138847700099,+
T005963,---,T198930,0.386535398513698,+
T006145,---,T171342,0.776200944957865,+
T006742,---,T074592,0.227029077813366,+
T006742,---,T141376,0.467240831500117,+
T006742,---,T152840,-0.19545177049756,-
T006749,---,T027301,-0.416337196976477,-
T006749,---,T055908,0.529730924045414,+
T006749,---,T158334,0.518296107570801,+
T006749,---,T175734,0.49401363213246,+
T007573,---,T020697,0.569291516611161,+
T007573,---,T068972,0.388818780001856,+
T007573,---,T074528,-0.224654681084411,-
T007573,---,T089039,0.547317377689461,+
T007573,---,T163648,-0.400496095218527,-
T007573,---,T175584,0.473802198023357,+
T007602,---,T110726,0.405352775976337,+
T007602,---,T147114,0.480693473781488,+
T007602,---,T155923,0.381124641561796,+
T007602,---,T158729,0.493328870491045,+
T007602,---,T162212,-0.426807839472706,-
T007602,---,T163648,-0.412290891919187,-
T007602,---,T178112,0.411330023630174,+
T007602,---,T182932,0.395648983994117,+
T007602,---,T183226,0.313183112760024,+
T007602,---,T187243,0.36714932333719,+
T007721,---,T007722,0.196846609973646,+
T007721,---,T042268,0.19811568486279,+
T007721,---,T046661,0.14005064390306,+
T007721,---,T098701,0.320876552662369,+
T007721,---,T120141,-0.325859032983538,-
T007721,---,T172168,0.303529283293143,+
T007722,---,T036299,0.277293896931514,+
T007722,---,T042185,0.151792676718756,+
T007722,---,T088177,0.266836447239459,+
T007722,---,T162139,0.284359636902631,+
T007810,---,T024387,0.196421000223744,+
T007810,---,T036271,-0.215636887794933,-
T007810,---,T036299,0.369238316398716,+
T007810,---,T052363,-0.149835978589026,-
T007810,---,T052885,0.362987018341962,+
T007810,---,T121954,0.276132185700167,+
T007810,---,T126517,0.213705625078304,+
T007810,---,T137081,0.345129904160778,+
T007810,---,T145733,0.407902228049691,+
T007810,---,T162139,0.308518017885946,+
T007810,---,T193798,0.281577479821149,+
T008214,---,T020140,0.640823747047379,+
T008214,---,T032475,0.635876262842338,+
T008214,---,T051623,0.689469258524118,+
T008214,---,T142401,0.732757929100902,+
T008481,---,T083375,0.312513182520474,+
T008662,---,T117796,0.377344393522918,+
T008662,---,T128605,0.493468533136963,+
T009570,---,T019300,0.413644900322165,+
T009570,---,T046720,0.493655635436415,+
T009570,---,T088175,0.357855032482995,+
T009570,---,T111886,0.274663606168881,+
